country,city,lon,lat,info
意大利,都灵,45.07135133,7.755919887,
意大利,米兰,45.47033454,9.184799109,
意大利,热那亚,44.41449728,8.932013533,
意大利,佛罗伦萨,43.77249169,11.26053291,
意大利,威尼斯,45.45033133,12.3309604,
意大利,罗马,41.90189462,12.49411252,
意大利,那不勒斯,40.86021816,14.26770611,
罗马尼亚,布加勒斯特,44.43280431,26.10697987,
黑山,波德戈里察,42.43328108,19.2521023,
阿尔巴尼亚,地那拉,41.33160853,19.8188486,
北马其顿,斯科普里,42.00356478,21.4262455,
土耳其,埃迪尔内,41.67822837,26.55650045,埃迪尔内，或称哈德良堡或亚德里亚堡，因罗马皇帝哈德良所建而得名。土耳其语埃迪尔内是希腊语亚德里亚堡的音译，故两种称呼并不是两个不同的名字。
乌克兰,敖德萨,46.49732589,30.74880023,敖德萨，是乌克兰南部港口城市，坐落于黑海西北岸，是该国的第三大城市，也是该国重要的各种物资集散地及重要贸易港口，被称为“黑海明珠”。
塞尔维亚,贝尔格莱德,44.81876653,20.47733155,贝尔格莱德，是欧洲国家塞尔维亚的首都和最大城市。贝尔格莱德市位于塞尔维亚北部萨瓦河和多瑙河汇合处，此处也是潘诺尼亚平原和巴尔干半岛的相遇处。
奥地利,萨尔茨堡,47.80439057,13.05279927,"萨尔茨堡，奥地利萨尔茨堡州的首府，人口为153,377，是继维也纳、格拉茨和林茨之后的奥地利第四大城市。萨尔茨堡位于奥地利的西部，是阿尔卑斯山脉的门庭，城市的建筑风格以巴洛克为主，城市的历史相当悠久，据史料记载，萨尔茨堡是现今奥地利管辖地域内历史最悠久的城市。"
奥地利,维也纳,48.21152635,16.3782054,维也纳州德语音译维恩，是奥地利的首都，也是该国最大城市，同时是奥地利九个州之一。维也纳是奥地利的首要型都市，有着188.9万人口，作为奥地利政治、经济、文化之中心，维也纳的人口数在欧盟城市中名列第六。该城是德语圈中的第二大城市，仅次于柏林。
斯洛文尼亚,的里雅斯特,45.65301049,13.76580492,在1372年到1918年间，的里雅斯特曾是神圣罗马帝国及奥匈帝国的一部分，因而这座城市虽然在地理上显然属于南欧，但在语言、文化方面却具有明显的中欧和日耳曼特色，与其他意大利城市有着明显的区别。现今的里雅斯特是边界城市的代表。的里雅斯特的人口混合了邻区的意大利、斯洛文尼亚、克罗地亚等人种。的里雅斯特的景点主要是众多奥匈帝国时代存留的新艺术以及新古典主义风格建筑，以其明显的中欧特色在意大利众多城市中独树一帜。该市还拥有国际理论物理中心和的里雅斯特大学。 
科索沃,普里什蒂纳,42.67518568,21.16078277,普里什蒂纳，是科索沃共和国的首都及最大城市，也是同名区及同名市镇的行政中心，位于该国东北部。普里什蒂纳距离南方的北马其顿共和国首都斯科普里约80公里、离东北方的塞尔维亚第三大城市尼什约95公里。 
波斯尼亚黑塞哥维那,萨拉热窝,43.85796744,18.40288675,
格鲁吉亚,第比利斯,41.69901828,44.79165755,
伊朗,大不里士,38.08612795,46.29857611,
伊朗,设拉子,29.60206716,52.57706965,
伊朗,马什哈德,36.3035588,59.61368284,
土库曼斯坦,阿什哈巴德,37.96491298,58.3037658,
阿联酋,迪拜,25.22483007,55.28095712,
沙特阿拉伯,麦地那,24.4832135,39.58450886,
阿富汗,喀布尔,34.56457356,69.20589036,
叙利亚,大马士革,33.51803947,36.26572423,大马士革是叙利亚首都与最大城市，也是黎凡特和阿拉伯世界的重要文化中心，因而被视为伊斯兰教的第四大圣城。其非正式名称为沙姆大马士革，有时直称沙姆；在中文《圣经和合本》译为大马色，在《回回馆译语》则称为敌米石。
叙利亚,霍姆斯,34.7392985,36.71415595,
黎巴嫩,贝鲁特,33.89704853,35.505311,
伊拉克,巴格达,33.32488306,44.36414475,
尼泊尔,加德满都,27.71471087,85.31582771,
印度,班加罗尔,12.97787918,77.53745911,
印度,孟买,18.96931286,72.83902235,
澳大利亚,阿德莱德,-34.90668586,138.5806275,
澳大利亚,布里斯班,-27.44398551,153.0477762,
澳大利亚,悉尼,-33.85756027,151.3836775,
澳大利亚,堪培拉,-35.2821493,149.106357,
加拿大,温哥华,49.28808272,-123.1362794,
加拿大,安大略,-86.7941186562853,51.57138302792784,
美国,迈阿密,25.76538655,-80.19072335,
委内瑞拉,加拉加斯,10.47915267,-66.90618287,
阿根廷,科尔多瓦,37.89153722,-4.783971518,
阿根廷,布宜诺斯艾利斯,-34.58971444,-58.38456669,
西班牙,马德里,40.42738421,-3.689854827,
西班牙,巴塞罗那,41.39461091,2.173129816,
西班牙,帕尔马,39.5735285,2.656806286,
塞内加尔,达喀尔,14.72229992,-17.46583092,
肯尼亚,内罗毕,-1.274355567,36.81433854,
越南,胡志明市,10.8620104,106.5437691,
越南,河内,21.02834277,105.8321558,
柬埔寨,金边,11.56519119,104.9258682,
泰国,曼谷,13.77373674,100.498432,
缅甸,仰光,16.85070877,96.18422442,
泰国,清迈,18.79552789,98.98599722,
马来西亚,槟城,5.259564907,100.4851261,
印度尼西亚,雅加达,-6.190811817,106.8212538,
印度尼西亚,万隆,-6.910947732,107.6112285,
澳大利亚,达尔文,-12.44537409,130.8813754,
菲律宾,马尼拉,14.5989576,120.9834302,
日本,福冈,33.58663764,130.3792466,
日本,熊本,32.81273772,130.7917847,
日本,广岛,34.37250028,132.6706037,
日本,鹿儿岛,31.62037814,130.776609,
日本,神户,34.72038745,134.9893025,
日本,京都,34.98917433,135.8771315,
日本,大阪,34.70621646,135.7392163,
日本,和歌山,34.23721453,135.4633859,
日本,横滨,35.43987814,139.7559958,
日本,长野,36.68707526,138.3682244,
日本,东京,35.6852963,139.8680519,
日本,新泻,37.92796892,139.1526169,
日本,福岛,37.77823704,140.6007263,
日本,仙台,38.2468307,141.0144718,
日本,秋田,39.76719621,140.2645581,
日本,青森,40.82562508,140.9110355,
日本,函馆,41.758211,140.9110355,
日本,札幌,43.05365554,141.5305958,
日本,小樽,43.22299019,140.6801461,
韩国,大邱,36.10583553,128.6473844,
韩国,釜山,35.27123372,129.0402902,
韩国,光州,35.4375836,126.7531229,
韩国,仁川,37.35924468,126.7358835,
韩国,济州岛,33.44017238,126.6755456,
爱尔兰,都柏林,53.35994176,-6.281466222,
英国,伯明翰,52.5138493,-1.571943684,
英国,曼彻斯特,53.4702058,-1.997321258,
英国,利物浦,53.49254127,-3.511164975,
英国,威尔士,52.06233111,-4.31187572,
英国,爱丁堡,56.00443965,-2.798032011,
英国,格拉斯哥,55.87129988,-4.587120041,
英国,牛津,51.7535954,-1.071499473,
英国,剑桥,52.22356854,0.379788719,
荷兰,阿姆斯特丹,52.40434596,5.056389483,
荷兰,鹿特丹,52.01335174,4.14307881,
比利时,安特卫普,51.22609818,4.406579666,
德国,科隆,50.93251083,7.157204276,
德国,海德堡,49.43929707,8.98284329,
德国,莱比锡,51.35633015,12.63412123,
德国,纽伦堡,49.45498347,11.23473277,
德国,慕尼黑,48.25357894,12.09055375,
德国,斯图加特,48.82266147,9.599769489,
德国,汉堡,53.48242809,10.49434694,
捷克,布拉格,50.12259952,13.61698194,
瑞士,苏黎世,47.3523159,8.836035592,
瑞士,日内瓦,46.22742408,6.202570667,
法国,波尔多,44.8932951,-0.267583216,
法国,第戎,47.32249446,5.368402653,
法国,里昂,45.81966704,5.137689817,
波兰,格但斯克,54.35171603,18.65678733,
俄罗斯,加里宁格勒,54.71070438,20.45352982,"加里宁格勒，旧名柯尼斯堡，是俄罗斯加里宁格勒州的首府，为滨临波罗的海的海港城市，市区面积215.7平方千米，2010年人口为431,402人。此地最早是古普鲁士人的定居点，1255年条顿骑士团于北方十字军入侵期间在此建立据点，并出于对普热米斯尔·奥托卡二世国王的敬意取名“柯尼斯堡”。"
波兰,华沙,52.28174132,21.17416551,
白俄罗斯,明斯克,54.07764482,28.43248853,
乌克兰,基辅,50.46760892,30.81389761,
爱沙尼亚,塔林,59.5260682,25.25727646,
俄罗斯,喀山,55.98489471,49.99745188,
俄罗斯,叶卡捷琳堡,56.84193895,60.69977806,
俄罗斯,鄂木斯克,55.09224678,74.47459221,
俄罗斯,车里雅宾斯克,55.16257659,63.4449405,
俄罗斯,莫斯科,55.72055961,38.76949046,
俄罗斯,圣彼得堡,60.03139936,31.43005685,
